area,year,title,url
전국,22년, 2022년 2차 소상공인 방역지원금 확인지급 시행 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221229_1463.jsp?gubun=policyfund
전국,22년, 2022년 소기업ㆍ소상공인 방역물품 지원금 시행 연장 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1221228_1463.jsp?gubun=policyfund
전국,22년, 2022년 2월 스마트설비도입자금 접수 개시 안내 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221227_1463.jsp?gubun=policyfund
전국,22년, 2022년 2월 소공인특화자금 접수 개시 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221211_1463.jsp?gubun=policyfund
전국,22년, 2022년 소상공인 방역지원금 확인지급 시행 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221059_1463.jsp?gubun=policyfund
전국,22년, 소상공인 손실보상 선지급 접수 개시 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220900_1463.jsp?gubun=policyfund
전국,22년, 2022년 소기업ㆍ소상공인 방역물품 지원금 시행 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1220866_1463.jsp?gubun=policyfund
전국,21년, 2021년 3분기 소상공인 손실보상 이의신청 접수 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220605_1463.jsp?gubun=policyfund
전국,21년, 코로나19 대응 개인택시 특별지원 시행 변경 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220604_1463.jsp?gubun=policyfund
전국,21년, 2021년 저신용 소상공인 융자 접수 개시 안내 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220423_1463.jsp?gubun=policyfund
전국,21년, 2021년 중소유통 거점물류 활성화 지원사업 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1220422_1463.jsp?gubun=policyfund
전국,21년, 2021년 소기업ㆍ소상공인공제 지원사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220376_1463.jsp?gubun=policyfund
전국,21년, 2021년 1인 자영업자 고용보험료 지원사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220233_1463.jsp?gubun=policyfund
전국,21년, 소기업ㆍ소상공인 공제부금(노란우산공제)에 대한 소득공제(2021년 중소기업 조세지원),https://www.sbiz.or.kr/sup/ssup_c01/1220230_1463.jsp?gubun=policyfund
전국,21년, 해외온라인 B2C 유통플랫폼(라자다 싱가포르) 입점지원사업 참여기업 모집 공고(차세대 재활복지 의료기기산업 육성)(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219998_1463.jsp?gubun=policyfund
전국,21년, [경남] 2021년 유럽 자동차부품 온라인 무역사절단 참가기업 모집 공고(코로나19 대응),https://www.sbiz.or.kr/sup/ssup_c01/1219982_1463.jsp?gubun=policyfund
전국,21년, 2021년 해외 온라인 수출상담회 참가기업 모집 공고(차세대 재활복지 의료기기산업 육성)(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219269_1463.jsp?gubun=policyfund
서울/강원,22년, [강원] 2022년 온라인 마케터 양성사업 소상공인 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1221247_1463.jsp?gubun=policyfund
서울/강원,22년, [강원] 2022년 소상공인 경영안정자금 금융지원 사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221245_1463.jsp?gubun=policyfund
서울/강원,22년, [서울] 강남구 중소기업ㆍ소상공인 대출이자 지원 사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221244_1463.jsp?gubun=policyfund
서울/강원,22년, [강원] 2022년 소기업ㆍ소상공인 방역물품 지원금 시행 연장 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221242_1463.jsp?gubun=policyfund
서울/강원,21년, [서울] 코로나19 대응 중소기업 수출 판로 지원을 위한 2021 TRADE WEEK 비즈매칭 참여기업 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219939_1463.jsp?gubun=policyfund
서울/강원,21년, [서울] 강남구 2021년 중국 라이브커머스 수출마케팅 지원사업 참가기업 연장 모집 공고(코로나19 극복지원),https://www.sbiz.or.kr/sup/ssup_c01/1219923_1463.jsp?gubun=policyfund
서울/강원,21년, [서울] 강남구 2021년 중국 라이브커머스 수출마케팅 지원사업 참가기업 모집 공고(코로나19 극복지원),https://www.sbiz.or.kr/sup/ssup_c01/1219855_1463.jsp?gubun=policyfund
서울/강원,21년, [강원] 고용창출ㆍ유지 자금(333 자금) 지원사업 변경 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219842_1463.jsp?gubun=policyfund
서울/강원,21년, [강원] 2021년 중국 박람회 전시 참가기업 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219411_1463.jsp?gubun=policyfund
서울/강원,21년, [서울] 2021년 인플루언서 마케팅 지원사업 참가기업 모집 공고(코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219330_1463.jsp?gubun=policyfund
서울/강원,21년, [강원] 2021년 디지털헬스케어 시장진출 프로그램(BIO KOREA 2021) 공고 (코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219327_1463.jsp?gubun=policyfund
서울/강원,21년, [서울] 2021년 사회적경제 임팩트 전략 지원사업 공모(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219299_1463.jsp?gubun=policyfund
인천/경기,22년, [인천] 코로나19 위기 극복을 위한 소상공인 경영안정자금 지원사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221146_1463.jsp?gubun=policyfund
인천/경기,22년, [경기] 부천시 2022년 2차 소기업ㆍ소상공인 방역물품 지원금 시행 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221100_1463.jsp?gubun=policyfund
인천/경기,22년, [경기] 2022년 1차 경기신용보증재단 파트너 기업 선정사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221046_1463.jsp?gubun=policyfund
인천/경기,21년, [인천] 2021년 1차 중소ㆍ중견기업 청년 취업지원사업 참여기업 모집 공고(코로나19 극복지원),https://www.sbiz.or.kr/sup/ssup_c01/1219841_1463.jsp?gubun=policyfund
인천/경기,21년, [경기] 남부권 2021년 현장클리닉 참여기업 모집 공고(코로나19 대응),https://www.sbiz.or.kr/sup/ssup_c01/1219578_1463.jsp?gubun=policyfund
인천/경기,21년, 2021년 인천광역시 식품진흥기금 융자사업 공고(코로나19 위기 극복),https://www.sbiz.or.kr/sup/ssup_c01/1219423_1463.jsp?gubun=policyfund
인천/경기,21년, [경기] 코로나19 극복 관광업계 활성화 지원사업 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219388_1463.jsp?gubun=policyfund
인천/경기,21년, [인천] 남동구 2021년 온라인 자카르타 국제 프리미엄 소비재전 사업 참여기업 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219358_1463.jsp?gubun=policyfund
인천/경기,21년, [경기] 용인시 2021년 서울 국제화장품미용산업박람회 (Cosmobeauty Seoul 2021) 참가기업 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219328_1463.jsp?gubun=policyfund
인천/경기,21년, [경기] 부천시 2021년 생산공정 로봇자동화 지원사업 모집 재공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219284_1463.jsp?gubun=policyfund
인천/경기,21년, [경기] 2021년 온택트 콘텐츠 수출상담회 지커넥션 참가기업 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219283_1463.jsp?gubun=policyfund
인천/경기,21년, 2021년 인천광역시 식품진흥기금 융자사업 공고(코로나19 위기 극복),https://www.sbiz.or.kr/sup/ssup_c01/1219270_1463.jsp?gubun=policyfund
대전/세종/충청,22년, [충북] 2022년 소상공인 IP역량강화 상표출원 지원사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221246_1463.jsp?gubun=policyfund
대전/세종/충청,22년, [대전] 서구 2022년 소상공인 크라우드펀딩 지원사업 참여기업 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1221103_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [대전] 2021년 하반기 중소기업 경영안정자금 지원 변경 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219943_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충남] 2021년 하반기 소상공인 애로사항 팀닥터 지원사업 모집 공고(코로나19 극복지원),https://www.sbiz.or.kr/sup/ssup_c01/1219942_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충남] 2021년 코로나19 위기 극복을 위한 소망대출 플러스 자금 지원계획 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219859_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충남] 2021년 우수제품ㆍ수산물 힐링 판매전(코리아세일페스타 연계) 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219623_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충북] 2021년 중국 상하이 온라인 화상상담회 참여기업 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219449_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충북] 2021년 2차 신성장산업 근무환경개선지원 참여기업 추가모집 공고(코로나19 대응),https://www.sbiz.or.kr/sup/ssup_c01/1219448_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충북] 2021년 해외 1:1 비즈니스 매칭 지원사업 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219357_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충남] 2021년 중소기업육성자금 원금상환유예 및 이자보전 계획 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219345_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [대전] 2021년 대전-중미 온라인 무역사절단 참여기업 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219344_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [대전] 2021년 대전-중동 ICT 온라인 무역사절단 참여기업 모집 공고(코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219302_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [대전] 2021년 3차 소상공인 신규고용 인건비 지원사업 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219301_1463.jsp?gubun=policyfund
대전/세종/충청,21년, [충북] 2021년 유럽(바르샤바ㆍ부쿠레슈티) 사이버 무역사절단 참여기업 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219231_1463.jsp?gubun=policyfund
대전/세종/충청,21년, 2021년 농식품 글로벌 온라인마켓(아마존US) 입점 지원사업 참여기업 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219230_1463.jsp?gubun=policyfund
대구/경북,21년, [경북] 일하기 좋은 강소기업 온택트(ONTACT) 유튜버 현장체험 기업 홍보 영상 제작 참여기업 모집 공고(포스트 코로나 일자리 이음 프로젝트),https://www.sbiz.or.kr/sup/ssup_c01/1219981_1463.jsp?gubun=policyfund
대구/경북,21년, [경북] 2021년 소규모 사업장 방지시설 유지관리 지원사업 추가 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219854_1463.jsp?gubun=policyfund
대구/경북,21년, [경북] 2021년 소규모 사업장 방지시설 유지관리 지원사업 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219699_1463.jsp?gubun=policyfund
대구/경북,21년, [대구] 2021년 기술경쟁력강화(3D동영상ㆍ전시모형 제작) 지원 사업 공고(코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219491_1463.jsp?gubun=policyfund
대구/경북,21년, [대구] 2021년 베트남 B2B 온라인 화상 수출상담회 참가기업 모집 공고(코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219490_1463.jsp?gubun=policyfund
대구/경북,21년, [경북] 2021년 러시아어 카탈로그 번역 지원사업 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219374_1463.jsp?gubun=policyfund
부산/울산/경남,22년, [경남] 2022년 현장노동자 휴게시설 개선사업 지원 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221101_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [경남] 2021년 온라인 쇼케이스 수출상담회 참여기업 2차 모집 공고(코로나19 극복 지원),https://www.sbiz.or.kr/sup/ssup_c01/1219997_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [경남] 2021년 온라인 쇼케이스 수출상담회 참여기업 모집 공고(코로나19 극복 지원),https://www.sbiz.or.kr/sup/ssup_c01/1219938_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [울산] 2021년 4차 청년CEO육성사업 온라인 판로개척 지원 참여업체 모집 공고(코로나19 극복 지원),https://www.sbiz.or.kr/sup/ssup_c01/1219926_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [부산] 2021년 비대면 전환기업 솔루션 지원사업 수요기업 추가모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219925_1463.jsp?gubun=policyfund
부산/울산/경남,21년, 2021년 울산 남구 코로나19 위기극복 청년창업 점포 지원사업 예비창업자 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219922_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [울산] 2021년 3차 청년CEO육성사업 온라인 판로개척 지원 참여업체 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219700_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [울산] 2021년 2차 청년CEO육성사업 온라인 판로개척 지원 참여업체 모집 공고(코로나19 대응),https://www.sbiz.or.kr/sup/ssup_c01/1219474_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [경남] 진주시 2021년 수출물류비 지원사업 참여업체 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219424_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [경남] 창원시 2021년 고용확정형 중소기업 근무환경개선 지원사업 2차 모집 공고(고용안정 선제대응 패키지사업)(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219373_1463.jsp?gubun=policyfund
부산/울산/경남,21년, [부산] 2021년 수출기업 온라인 트레이드쇼 참가업체 모집 공고 (코로나 19),https://www.sbiz.or.kr/sup/ssup_c01/1219298_1463.jsp?gubun=policyfund
광주/전라/제주,22년, [전북] 2022년 소기업ㆍ소상공인 방역물품지원금 시행 연장 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221243_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [광주] 2021년 고용유지지원금 사업주 부담액 지원사업 변경 공고(코로나19 대응),https://www.sbiz.or.kr/sup/ssup_c01/1219860_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [전남] 2021년 8월 코로나19 피해 중소기업ㆍ소상공인 경영안정자금 상환유예 및 만기연장 지원계획 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219840_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [전남] 2021년 7월 코로나19 피해 중소기업ㆍ소상공인 경영안정자금 상환유예 및 만기연장 지원계획 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219622_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [전남] 2021년 6월 코로나19 피해 중소기업ㆍ소상공인 경영안정자금 상환유예 및 만기연장 지원계획 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219579_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [광주] 2021년 고용유지지원금 사업주 부담액 지원사업 공고(코로나19 대응),https://www.sbiz.or.kr/sup/ssup_c01/1219473_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [전남] 2021년 6월 코로나19 피해 중소기업ㆍ소상공인 경영안정자금 상환유예 및 만기연장 지원계획 공고,https://www.sbiz.or.kr/sup/ssup_c01/1219450_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [제주] 2021년 화훼 생산농가 포장자재비 지원사업 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219412_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [제주] 2021년 관광사업체 컨설팅 지원을 통한 경쟁력 강화 사업 컨설팅 참여업체 모집 공고(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219387_1463.jsp?gubun=policyfund
광주/전라/제주,21년, [전남] 동네가게 함께가게 캠페인(홍보동영상 제작) 참여 희망 소상공인 모집 안내(코로나19),https://www.sbiz.or.kr/sup/ssup_c01/1219331_1463.jsp?gubun=policyfund
